Payment Submission Detail Report,1.0,2018-02-13 to 2018-02-13,,,,,,,
batch_id,merchant_id,batch_date,request_id,merchant_ref_number,trans_ref_no,payment_method,currency,amount,transaction_type,payment_processor
"20068741761","uma_garage_parcs","2018-02-13","5184556850406551103060","636540344847954162","421795973XEKDXD8YGJMM","MasterCard","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184557373006515403075","636540345369121789","421800051XEKITD2KUTZ2","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184557612566526603075","636540345610900230","421798651XEKIVD2KVDG4","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184557868816538103075","636540345865831894","421798064XEKHCD2KBZS3","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184557918626540203075","636540345915970538","421800736XEKE8D2L4XSU","MasterCard","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184558198296713603055","636540346195864098","421799546XEKHID2KBWLU","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184558692186736203055","636540346690208731","421804901XEKI0D2KHZFW","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184559008246749603055","636540347006611596","421802036XEKKSD8YQ9VX","American Express","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184559386356467503016","636540347384835860","421804604XEKDYD2HOCGF","Discover","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184559600086477303016","636540347598613600","421799841XEKHQD2KE9C0","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184559706036481703016","636540347704340316","421798076XEKHCD2KC01D","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184559944076491803016","636540347942210778","421799974XEKDPD2GR3YX","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184560129126851503086","636540348126224008","421802048XEKKSD8YQA1K","MasterCard","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184560207746855003086","636540348205834825","421795190XEKILD2KTDWS","MasterCard","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184560326656860703086","636540348325034828","421803818XEKHUD2KFK9G","Discover","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184561656656759803060","636540349653810021","421805709XEKELD2IB249","American Express","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184563030406567003050","636540351029022543","421807701XEKHTD2KFKSO","MasterCard","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184565125206016303083","636540353123592331","421809007XEKE5D2I2EVS","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184565272736021903083","636540353270619461","421801268XEKHFD2KC1HB","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184566973526204303019","636540354970245586","421803669XEKHJD2KE9KW","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184567554576030703060","636540355550266893","421806625XEKDXD8YGL5I","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184569521036712203054","636540357519471500","421802176XEKICD2KSSKW","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184569578086714303054","636540357576387748","421811106XEKE2D2I2ERZ","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184569876276726803054","636540357873480167","421810316XEKHID2KBYCM","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184570288716744403054","636540358286779805","421807358XEKHDD8YMMLJ","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184570905376656103014","636540358902799553","421808059XEKEOD2IB0GR","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184570958266312303070","636540358956756703","421807759XEKHTD2KFLZ5","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184571229636322403070","636540359228231971","421811318XEKHBD2KBYLO","Visa","USD","3.50","ics_bill","Vital"
